"bigrama" "frecuencia"
"111" "VA" 231725.498699845
"112" "US" 227841.927214671
"113" "RD" 225430.205979177
"114" "NU" 222689.222751267
"115" "AU" 222316.960125513
"116" "OB" 222002.441207384
"117" "BR" 220723.479512963
"118" "SM" 218311.758277468
"119" "FI" 215017.909763785
"120" "TU" 212369.070750171
"121" "EV" 207597.229039188
"122" "ZA" 204558.927146484
"123" "UA" 201075.875846114
"124" "CT" 200763.814107033
"125" "LD" 199250.191813539
"126" "PU" 196874.099674239
"127" "RR" 192688.295166176
"128" "RM" 190013.655772559
"129" "IG" 188901.782253393
"130" "SS" 188402.974906673
"131" "RS" 188382.088884766
"132" "CH" 187841.509494233
"133" "GO" 187197.728583688
"134" "UI" 186628.891634104
"135" "MU" 186314.372715975
"136" "EU" 184966.610008213
"137" "IV" 183242.898906125
"138" "RL" 181091.638649706
"139" "AI" 180874.178303969
"140" "LT" 180554.745027745
"141" "UL" 179945.36462387
"142" "LC" 177498.014292182
"143" "AV" 177355.497907405
"144" "RC" 173212.694032679
"145" "HO" 171046.690701973
"146" "AG" 163510.522562125
"147" "OQ" 161815.069019088
"148" "BL" 161463.692415241
"149" "GR" 161324.861799036
"150" "MB" 160255.988913208
"151" "AQ" 157932.726123438
"152" "NP" 157155.028954784
"153" "UC" 157119.399858589
"154" "AF" 155733.550875585
"155" "VO" 155084.855606945
"156" "RU" 153079.797503875
"157" "AÑ" 152959.395730529
"158" "SL" 152846.365494326
"159" "LM" 148529.101907201
"160" "LU" 146344.669733636
"161" "EH" 145734.060740237
"162" "SQ" 145047.279196355
"163" "YE" 143281.796050453
"164" "OY" 141248.480388333
"165" "EF" 140232.436852034
"166" "EX" 139438.768019569
"167" "FE" 137896.888167024
"168" "CR" 137855.11612321
"169" "PL" 137477.939139361
"170" "GE" 135981.517099202
"171" "BE" 134619.011317152
"172" "PI" 134600.582474293
"173" "SY" 134099.317948526
"174" "JO" 131987.372556873
"175" "EB" 129764.854108066
"176" "ÑO" 129229.189075628
"177" "EJ" 128806.554279392
"178" "FU" 128349.518976487
"179" "RN" 126387.461506754
"180" "EO" 122575.148213969
"181" "EI" 122086.169583441
"182" "UD" 120864.951596644
"183" "AH" 119343.957766007
"184" "GI" 119237.070477424
"185" "NG" 119033.12461645
"186" "AJ" 118953.266297394
"187" "NF" 118544.145985922
"188" "IB" 118464.287666865
"189" "NM" 117634.989738206
"190" "UT" 114175.281638791
"191" "YA" 113562.215466345
"192" "JU" 113201.010146307
"193" "EQ" 113153.095154873
"194" "UM" 112465.085021467
"195" "LS" 108652.771728681
"196" "IZ" 108332.109862932
"197" "JE" 107061.748295178
"198" "RG" 103017.231582368
"199" "UP" 101513.438005065
"200" "OV" 100824.199282135
"201" "SH" 100201.304393498
"202" "DU" 100020.701733478
"203" "OG" 98677.853383812
"204" "LG" 97611.4376770321
"205" "DR" 95091.6005634312
"206" "HE" 95089.1433843833
"207" "FR" 93813.8674585336
"208" "FO" 93485.8340556416
"209" "CL" 93408.4329156334
"210" "JA" 92222.8440250313
"211" "NV" 91305.0876506481
"212" "OH" 91058.1411563362
"213" "IP" 90975.8256582322
"214" "SR" 90263.243734347
"215" "OF" 89008.8538304043
"216" "EZ" 88567.7901913098
"217" "FA" 88485.4746932058
"218" "OU" 87882.2372369513
"219" "BO" 85608.1180281384
"220" "IF" 85465.6016433613
"221" "AZ" 84565.0455223133
"222" "AO" 83670.632348885
"223" "UB" 79790.7466322825
"224" "HI" 79645.7730684576
"225" "SF" 76936.7331681699
"226" "ÑA" 76764.7306348183
"227" "NQ" 76689.786673858
"228" "RP" 74420.5818231408
"229" "SN" 74215.4073726429
"230" "YO" 72368.8373181611
"231" "ZO" 71416.6804371076
"232" "CC" 66784.8979318538
"233" "EY" 66620.2669356459
"234" "BU" 66375.7776203818
"235" "OI" 64149.5734030025
"236" "YL" 63038.9284733608
"237" "LV" 61669.0511541677
"238" "RQ" 61102.6713836314
"239" "XI" 56564.2616821971
"240" "DD" 55094.8686115648
"241" "NR" 54373.6865610121
"242" "SV" 54333.143106722
"243" "YD" 53938.7658695373
"244" "LR" 52530.8022751021
"245" "UY" 52267.8841169789
"246" "UG" 50429.9141891647
"247" "XP" 50307.0552367707
"248" "NZ" 48669.3454013587
"249" "NN" 48100.5084517745
"250" "YS" 47670.5021183955
"251" "LF" 47208.552457394
"252" "RV" 45976.2771648822
"253" "SG" 45197.3514067043
"254" "LQ" 44463.8834609121
"255" "EÑ" 44213.2511980284
"256" "YC" 44164.1076170708
"257" "GL" 43859.4174151336
"258" "LB" 42369.1383225944
"259" "OO" 42104.9915749473
"260" "HU" 40708.0852862276
"261" "NH" 40544.6828795436
"262" "YP" 40466.0531500114
"263" "SB" 39966.0172137678
"264" "LN" 39413.1519279948
"265" "NY" 39206.7488879729
"266" "YU" 37381.0648553981
"267" "IU" 33900.4707340761
"268" "NB" 31833.983154809
"269" "IJ" 30483.763267999
"270" "NJ" 30475.1631413314
"271" "UV" 30293.3318917883
"272" "PT" 30002.1561746145
"273" "XT" 29839.9823574544
"274" "OJ" 29659.3796974353
"275" "LH" 29656.9225183874
"276" "RZ" 28547.5061782696
"277" "YM" 28382.8751820616
"278" "MS" 27567.0917381655
"279" "LY" 27478.6332924418
"280" "UJ" 26789.3945695114
"281" "RB" 26435.5607866167
"282" "SJ" 24536.1613826055
"283" "RY" 24111.0694073223
"284" "FL" 23024.9962681593
"285" "GN" 22839.4792500444
"286" "YQ" 22738.7349090813
"287" "ZE" 22575.3325023973
"288" "OX" 21559.2889660989
"289" "OZ" 21470.8305203752
"290" "RF" 21010.1094488977
"291" "UF" 20640.3040021918
"292" "LJ" 20029.6950087936
"293" "YN" 19607.0602125583
"294" "KA" 18916.592900104
"295" "YT" 18744.5903667524
"296" "IQ" 18523.4442524432
"297" "II" 17343.9983094608
"298" "UZ" 16921.3635132255
"299" "ZD" 16761.6468751133
"300" "BS" 16646.1594598629
"301" "KI" 16480.299874131
"302" "PS" 16182.9812093375
"303" "DM" 16034.3218769408
"304" "YR" 15834.0617845386
"305" "RH" 15429.8558311623
"306" "AK" 15305.7682892444
"307" "DY" 14994.9351396876
"308" "VU" 14671.8160948913
"309" "DP" 14572.3003434522
"310" "UO" 14555.100090117
"311" "IÑ" 14139.8368310253
"312" "DC" 13387.9400423741
"313" "DS" 13383.0256842783
"314" "TH" 12955.4765299472
"315" "ZC" 12863.3323156517
"316" "CN" 12855.960778508
"317" "PP" 12616.3858213397
"318" "YH" 12276.0665232084
"319" "PC" 12072.1206622343
"320" "XC" 11811.659683159
"321" "YF" 10999.5620078347
"322" "YB" 10763.6728192382
"323" "TN" 10573.2414430275
"324" "MN" 10541.2981154051
"325" "ZQ" 10387.7244249126
"326" "TT" 10255.0367563271
"327" "RJ" 10161.6639525076
"328" "XA" 9968.77539724906
"329" "UU" 9936.83206962663
"330" "KE" 9903.66015248025
"331" "WA" 9881.54554104933
"332" "BJ" 9861.88810866629
"333" "DQ" 9802.91581151717
"334" "KO" 9605.11289816283
"335" "SK" 9412.22434290425
"336" "EK" 9015.38992667163
"337" "TS" 8969.93211428586
"338" "ZN" 8821.27278188912
"339" "YV" 8790.55804379062
"340" "IH" 8557.12603424202
"341" "TL" 8504.2966847126
"342" "DV" 8343.35145707646
"343" "JI" 7947.74563036778
"344" "TC" 7843.31552083289
"345" "TZ" 7743.79976939375
"346" "RK" 7724.14233701071
"347" "YG" 7670.08439795735
"348" "ZI" 7500.53904365363
"349" "ZU" 7444.02392555239
"350" "DL" 7424.36649316935
"351" "EW" 7310.10766744293
"352" "TB" 7125.81923885193
"353" "ZM" 7122.13347028011
"354" "AX" 6945.21657883275
"355" "UH" 6765.84250833752
"356" "CK" 6738.81353881084
"357" "NK" 6628.24048165624
"358" "DN" 6609.81163879714
"359" "IY" 6582.78266927046
"360" "ÑI" 6421.83744163432
"361" "ZP" 6354.26501781762
"362" "XE" 6021.31725682988
"363" "ÑE" 6012.7171301623
"364" "DH" 5904.60125205558
"365" "TX" 5661.34052631547
"366" "WE" 5602.36822916635
"367" "ZG" 5547.08170058905
"368" "TD" 5513.90978344267
"369" "BT" 5442.65159105415
"370" "IK" 5441.42300153021
"371" "OK" 5432.82287486263
"372" "GT" 5418.07980057535
"373" "YJ" 5398.42236819231
"374" "ZY" 5355.42173485441
"375" "LZ" 5285.39213198983
"376" "OW" 5232.56278246041
"377" "UÑ" 5222.73406626889
"378" "ZS" 5086.36062911155
"379" "TM" 4983.15910910059
"380" "PN" 4749.72709955199
"381" "YY" 4657.5828852565
"382" "XO" 4646.52557954104
"383" "DT" 4554.38136524554
"384" "XU" 4543.32405953008
"385" "TY" 4497.8662471443
"386" "TP" 4363.94998903484
"387" "AW" 4230.03373092538
"388" "ML" 4194.40463473112
"389" "WI" 4169.83284425232
"390" "ZL" 4163.68989663262
"391" "BB" 4011.34479566406
"392" "BV" 3969.5727518501
"393" "DJ" 3877.4285375546
"394" "YI" 3840.5708518364
"395" "CD" 3758.25535373242
"396" "IX" 3706.65459372694
"397" "HL" 3683.31139277209
"398" "PH" 3668.56831848481
"399" "HR" 3659.96819181723
"400" "DF" 3634.16781181449
"401" "LK" 3621.88191657509
"402" "BD" 3551.85231371051
"403" "MT" 3435.13630893621
"404" "WO" 3419.16464512499
"405" "FG" 3378.62119083497
"406" "MD" 3371.24965369133
"407" "MC" 3366.33529559557
"408" "CS" 3357.73516892799
"409" "HN" 3327.02043082949
"410" "KU" 3290.16274511129
"411" "GH" 3260.67659653673
"412" "GM" 3201.70429938761
"413" "SZ" 3012.50151270085
"414" "MM" 3011.27292317691
"415" "ZR" 2887.18538125897
"416" "UQ" 2887.18538125897
"417" "CF" 2874.89948601957
"418" "FC" 2872.44230697169
"419" "HC" 2835.58462125349
"420" "ZZ" 2803.64129363105
"421" "BC" 2774.15514505649
"422" "DB" 2688.15387838069
"423" "FF" 2541.95172503184
"424" "TV" 2529.66582979244
"425" "ZH" 2516.1513450291
"426" "FT" 2492.80814407424
"427" "DG" 2486.66519645454
"428" "TF" 2484.20801740666
"429" "GD" 2443.66456311664
"430" "OÑ" 2392.06380311116
"431" "CM" 2382.23508691964
"432" "HS" 2358.89188596478
"433" "GS" 2349.06316977326
"434" "HT" 2346.60599072538
"435" "MY" 2340.46304310568
"436" "KS" 2338.0058640578
"437" "ZT" 2319.5770211987
"438" "PY" 2312.20548405506
"439" "XH" 2239.7187021426
"440" "VC" 2233.5757545229
"441" "XX" 2201.63242690046
"442" "VS" 2184.4321735653
"443" "HY" 2067.716168791
"444" "NW" 2048.05873640796
"445" "KY" 2027.17271450098
"446" "MR" 2021.02976688128
"447" "PD" 2002.60092402218
"448" "UX" 1963.2860592561
"449" "HM" 1931.34273163366
"450" "WW" 1900.62799353516
"451" "CP" 1878.51338210424
"452" "RX" 1873.59902400848
"453" "HD" 1873.59902400848
"454" "PB" 1863.77030781696
"455" "KL" 1855.17018114938
"456" "HP" 1753.19725066236
"457" "ZB" 1735.9969973272
"458" "SW" 1707.73943827658
"459" "QA" 1685.62482684566
"460" "GG" 1661.05303636686
"461" "CY" 1656.1386782711
"462" "FM" 1620.50958207684
"463" "KH" 1613.1380449332
"464" "ZV" 1575.05176969106
"465" "CQ" 1566.45164302349
"466" "KR" 1535.73690492499
"467" "MV" 1503.79357730255
"468" "UK" 1495.19345063497
"469" "BY" 1487.82191349133
"470" "MH" 1486.59332396739
"471" "FS" 1460.79294396465
"472" "LW" 1459.56435444071
"473" "GY" 1458.33576491677
"474" "ZF" 1420.24948967463
"475" "VL" 1420.24948967463
"476" "MX" 1403.04923633947
"477" "TJ" 1398.13487824371
"478" "TG" 1398.13487824371
"479" "GC" 1388.30616205219
"480" "GP" 1383.39180395643
"481" "VD" 1368.64872966915
"482" "TQ" 1344.07693919035
"483" "PF" 1328.10527537913
"484" "HB" 1315.81938013973
"485" "RW" 1307.21925347215
"486" "KD" 1206.47491250907
"487" "XM" 1202.78914393725
"488" "JR" 1147.50261535995
"489" "XV" 1146.27402583601
"490" "WS" 1141.35966774025
"491" "VY" 1135.21672012055
"492" "ZK" 1122.93082488115
"493" "YW" 1121.70223535721
"494" "PG" 1104.50198202205
"495" "BM" 1104.50198202205
"496" "XD" 1103.27339249811
"497" "YK" 1088.53031821083
"498" "PM" 1078.70160201931
"499" "HH" 1063.95852773203
"500" "KP" 1060.27275916021
"501" "FB" 1051.67263249263
"502" "CB" 1043.07250582505
"503" "KT" 1027.10084201383
"504" "KN" 997.61469343927
"505" "FD" 996.386103915331
"506" "XS" 991.471745819571
"507" "MG" 966.899955340771
"508" "YZ" 947.242522957731
"509" "KC" 943.556754385911
"510" "BN" 938.642396290151
"511" "PV" 922.670732478931
"512" "CG" 911.613426763471
"513" "FP" 905.470479143771
"514" "WB" 900.556121048011
"515" "MQ" 895.641762952251
"516" "FN" 868.612793425572
"517" "VP" 861.241256281932
"518" "NX" 858.784077234052
"519" "PZ" 852.641129614352
"520" "ZJ" 837.898055327072
"521" "WY" 834.212286755252
"522" "LX" 829.297928659492
"523" "CZ" 799.811780084932
"524" "DW" 797.354601037052
"525" "TW" 793.668832465232
"526" "MF" 766.639862938553
"527" "WN" 756.811146747033
"528" "VZ" 749.439609603393
"529" "KM" 742.068072459753
"530" "PJ" 717.496281980953
"531" "GJ" 689.238722930333
"532" "VN" 685.552954358513
"533" "BP" 683.095775310633
"534" "GK" 670.809880071234
"535" "HQ" 665.895521975474
"536" "JV" 658.523984831834
"537" "VR" 649.923858164254
"538" "XY" 643.780910544554
"539" "JT" 635.180783876974
"540" "GB" 627.809246733334
"541" "SX" 626.580657209394
"542" "GQ" 620.437709589694
"543" "CV" 613.066172446054
"544" "XQ" 589.722971491194
"545" "PQ" 588.494381967254
"546" "VV" 565.151181012395
"547" "IW" 563.922591488455
"548" "JP" 554.093875296935
"549" "JN" 534.436442913895
"550" "ÑU" 519.693368626615
"551" "GF" 518.464779102675
"552" "BZ" 518.464779102675
"553" "JD" 514.779010530855
"554" "MJ" 513.550421006915
"555" "BH" 509.864652435095
"556" "JS" 504.950294339335
"557" "XR" 503.721704815395
"558" "HF" 496.350167671755
"559" "HW" 495.121578147815
"560" "HK" 493.892988623875
"561" "FY" 488.978630528115
"562" "XL" 486.521451480235
"563" "XF" 486.521451480235
"564" "DK" 473.006966716895
"565" "JM" 466.864019097196
"566" "HV" 466.864019097196
"567" "KQ" 463.178250525376
"568" "VQ" 458.263892429616
"569" "FJ" 449.663765762036
"570" "XG" 448.435176238096
"571" "HG" 447.206586714156
"572" "WH" 443.520818142336
"573" "UW" 437.377870522636
"574" "FH" 417.720438139596
"575" "TK" 395.605826708676
"576" "VH" 389.462879088976
"577" "MK" 382.091341945336
"578" "CJ" 380.862752421396
"579" "WL" 377.176983849576
"580" "BQ" 375.948394325636
"581" "WJ" 374.719804801696
"582" "PW" 373.491215277756
"583" "DZ" 373.491215277756
"584" "JC" 362.433909562297
"585" "XJ" 358.748140990477
"586" "KF" 335.404940035617
"587" "WC" 334.176350511677
"588" "VT" 320.661865748337
"589" "KB" 319.433276224397
"590" "KK" 316.976097176517
"591" "JL" 308.375970508937
"592" "VM" 305.918791461057
"593" "HJ" 304.690201937117
"594" "XN" 299.775843841357
"595" "WR" 293.632896221657
"596" "JK" 289.947127649837
"597" "KG" 285.032769554077
"598" "FQ" 285.032769554077
"599" "MW" 278.889821934377
"600" "XB" 277.661232410437
"601" "GW" 272.746874314677
"602" "VF" 265.375337171037
"603" "WM" 264.146747647097
"604" "KV" 256.775210503458
"605" "BF" 255.546620979518
"606" "WT" 246.946494311938
"607" "BG" 237.117778120418
"608" "WD" 235.889188596478
"609" "YX" 230.974830500718
"610" "KW" 227.289061928898
"611" "QS" 223.603293357078
"612" "GZ" 222.374703833138
"613" "VJ" 221.146114309198
"614" "KJ" 215.003166689498
"615" "PK" 213.774577165558
"616" "JY" 203.945860974038
"617" "GV" 194.117144782518
"618" "WF" 189.202786686758
"619" "VK" 189.202786686758
"620" "FK" 180.602660019178
"621" "WU" 178.145480971298
"622" "MZ" 178.145480971298
"623" "WP" 175.688301923418
"624" "BK" 165.859585731898
"625" "QI" 154.802280016439
"626" "FZ" 146.202153348859
"627" "VB" 138.830616205219
"628" "BW" 138.830616205219
"629" "VG" 137.602026681279
"630" "JG" 135.144847633399
"631" "ÑN" 133.916258109459
"632" "WK" 129.001900013699
"633" "JJ" 129.001900013699
"634" "ZW" 126.544720965819
"635" "JB" 116.716004774299
"636" "JH" 110.573057154599
"637" "QE" 109.344467630659
"638" "JF" 100.744340963079
"639" "FV" 98.2871619151991
"640" "WX" 95.8299828673191
"641" "WG" 88.4584457236792
"642" "GX" 86.0012666757992
"643" "WQ" 73.7153714363993
"644" "QW" 73.7153714363993
"645" "JQ" 71.2581923885193
"646" "HZ" 71.2581923885193
"647" "WV" 68.8010133406393
"648" "KX" 68.8010133406393
"649" "QL" 66.3438342927594
"650" "QR" 62.6580657209394
"651" "QD" 61.4294761969994
"652" "KZ" 61.4294761969994
"653" "QP" 56.5151181012395
"654" "NÑ" 56.5151181012395
"655" "CW" 56.5151181012395
"656" "WZ" 55.2865285772995
"657" "QY" 51.6007600054795
"658" "QC" 51.6007600054795
"659" "VW" 50.3721704815395
"660" "XZ" 49.1435809575995
"661" "VX" 46.6864019097196
"662" "QO" 41.7720438139596
"663" "QH" 41.7720438139596
"664" "QQ" 40.5434542900196
"665" "BÑ" 39.3148647660796
"666" "FW" 36.8576857181996
"667" "QB" 33.1719171463797
"668" "LÑ" 29.4861485745597
"669" "JW" 29.4861485745597
"670" "XW" 28.2575590506197
"671" "XK" 28.2575590506197
"672" "QN" 27.0289695266797
"673" "QM" 27.0289695266797
"674" "DX" 22.1146114309198
"675" "CX" 22.1146114309198
"676" "JZ" 19.6574323830398
"677" "QV" 18.4288428590998
"678" "QF" 18.4288428590998
"679" "ÑS" 17.2002533351598
"680" "FX" 17.2002533351598
"681" "DÑ" 17.2002533351598
"682" "ZX" 15.9716638112198
"683" "QT" 15.9716638112198
"684" "PX" 13.5144847633399
"685" "ÑC" 13.5144847633399
"686" "QJ" 11.0573057154599
"687" "QG" 8.60012666757992
"688" "ÑL" 8.60012666757992
"689" "ÑD" 8.60012666757992
"690" "BX" 8.60012666757992
"691" "YÑ" 6.14294761969994
"692" "RÑ" 6.14294761969994
"693" "QZ" 6.14294761969994
"694" "ÑP" 6.14294761969994
"695" "MÑ" 4.91435809575995
"696" "HX" 4.91435809575995
"697" "SÑ" 3.68576857181997
"698" "QK" 3.68576857181997
"699" "PÑ" 3.68576857181997
"700" "ÑY" 3.68576857181997
"701" "ÑH" 3.68576857181997
"702" "ÑB" 3.68576857181997
"703" "ZÑ" 2.45717904787998
"704" "ÑR" 2.45717904787998
"705" "GÑ" 2.45717904787998
"706" "ÑT" 1.22858952393999
"707" "ÑQ" 1.22858952393999
"708" "FÑ" 1.22858952393999
